date_trunc,mints
2020-06-01T00:00:00+00:00,2395
2021-12-01T00:00:00+00:00,951
2019-07-01T00:00:00+00:00,16
2022-04-01T00:00:00+00:00,96
2019-10-01T00:00:00+00:00,968
2020-07-01T00:00:00+00:00,1236
2021-02-01T00:00:00+00:00,216
2020-02-01T00:00:00+00:00,804
2020-08-01T00:00:00+00:00,1139
2021-05-01T00:00:00+00:00,1152
2020-12-01T00:00:00+00:00,524
2022-07-01T00:00:00+00:00,24
2019-08-01T00:00:00+00:00,2365
2020-10-01T00:00:00+00:00,422
2021-07-01T00:00:00+00:00,2265
2019-05-01T00:00:00+00:00,928
2021-01-01T00:00:00+00:00,87
2020-05-01T00:00:00+00:00,3329
2022-06-01T00:00:00+00:00,83
2020-04-01T00:00:00+00:00,458
2020-09-01T00:00:00+00:00,507
2021-06-01T00:00:00+00:00,2802
2019-12-01T00:00:00+00:00,172
2020-03-01T00:00:00+00:00,1323
2021-04-01T00:00:00+00:00,743
2021-08-01T00:00:00+00:00,1695
2021-11-01T00:00:00+00:00,1014
2021-09-01T00:00:00+00:00,3583
2022-03-01T00:00:00+00:00,145
2020-11-01T00:00:00+00:00,771
2019-06-01T00:00:00+00:00,144
2022-05-01T00:00:00+00:00,128
2019-11-01T00:00:00+00:00,385
2021-10-01T00:00:00+00:00,1330
2020-01-01T00:00:00+00:00,162
2019-09-01T00:00:00+00:00,343
2021-03-01T00:00:00+00:00,512
